,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Some Text
926,21,female,2,rent,little,little,1049,18,furniture/equipment,Some Text
927,39,male,2,free,little,little,10297,48,car,Some Text
928,58,male,2,own,NA,NA,1867,30,radio/TV,Some Text
929,43,male,1,own,little,little,1344,12,car,Some Text
930,24,male,1,own,little,little,1747,24,furniture/equipment,Some Text
931,22,female,2,own,little,moderate,1670,9,radio/TV,Some Text
932,30,male,2,own,little,NA,1224,9,car,Some Text
933,42,male,2,own,quite rich,NA,522,12,radio/TV,Some Text
934,23,female,2,own,little,little,1498,12,radio/TV,Some Text
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,Some Text
936,28,female,1,own,little,rich,745,9,radio/TV,Some Text
937,30,male,3,rent,little,moderate,2063,6,radio/TV,Some Text
938,42,male,2,free,little,moderate,6288,60,education,Some Text
939,46,male,3,own,NA,NA,6842,24,car,Some Text
940,45,male,3,own,NA,NA,3527,12,car,Some Text
941,31,male,1,own,little,NA,1546,10,car,Some Text
942,31,male,2,own,NA,NA,929,24,furniture/equipment,Some Text
943,42,male,1,own,little,NA,1455,4,car,Some Text
944,46,female,2,rent,little,little,1845,15,furniture/equipment,Some Text
945,30,female,2,own,quite rich,moderate,8358,48,car,Some Text
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,Some Text
947,38,male,3,own,NA,NA,2859,12,car,Some Text
948,43,male,1,own,little,NA,1533,18,furniture/equipment,Some Text
949,31,male,2,own,moderate,NA,3621,24,radio/TV,Some Text
950,40,male,0,own,little,moderate,3590,18,business,Some Text
951,24,male,2,own,little,little,2145,36,business,Some Text
952,28,female,2,rent,quite rich,moderate,4113,24,car,Some Text
953,26,female,3,own,little,NA,10974,36,furniture/equipment,Some Text
954,29,female,2,own,little,little,1893,12,car,Some Text
955,57,female,3,rent,rich,little,1231,24,radio/TV,Some Text
956,49,male,1,own,NA,rich,3656,30,radio/TV,Some Text
957,37,male,1,own,little,moderate,1154,9,radio/TV,Some Text
958,45,male,1,own,little,little,4006,28,car,Some Text
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,Some Text
960,30,male,2,rent,little,NA,1740,6,radio/TV,Some Text
961,47,male,2,own,little,moderate,2353,21,car,Some Text
962,29,male,2,own,NA,NA,3556,15,car,Some Text
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,Some Text
964,22,male,1,own,little,moderate,454,6,repairs,Some Text
965,26,female,2,own,NA,moderate,1715,30,radio/TV,Some Text
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,Some Text
967,54,female,3,rent,little,NA,3568,15,radio/TV,Some Text
968,29,male,2,rent,NA,NA,7166,42,radio/TV,Some Text
969,40,male,1,own,little,little,3939,11,car,Some Text
970,22,male,2,own,moderate,moderate,1514,15,repairs,Some Text
971,43,male,1,own,little,NA,7393,24,car,Some Text
972,29,female,0,rent,little,little,1193,24,car,Some Text
973,36,male,2,rent,little,little,7297,60,business,Some Text
974,33,female,2,own,little,NA,2831,30,radio/TV,Some Text
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,Some Text
976,64,female,2,own,little,moderate,753,6,radio/TV,Some Text
977,42,male,2,own,NA,moderate,2427,18,business,Some Text
978,47,male,1,own,little,NA,2538,24,car,Some Text
979,25,male,2,rent,moderate,moderate,1264,15,car,Some Text
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,Some Text
981,33,male,3,rent,little,NA,4844,48,business,Some Text
982,28,female,3,own,moderate,rich,2923,21,car,Some Text
983,26,male,2,own,little,little,8229,36,car,Some Text
984,30,male,1,own,little,NA,2028,24,furniture/equipment,Some Text
985,25,female,2,rent,little,little,1433,15,furniture/equipment,Some Text
986,33,male,2,own,little,rich,6289,42,business,Some Text
987,64,female,2,own,moderate,NA,1409,13,radio/TV,Some Text
988,29,male,3,free,little,little,6579,24,car,Some Text
989,48,male,1,own,little,moderate,1743,24,radio/TV,Some Text
990,37,male,1,own,NA,NA,3565,12,education,Some Text
991,34,male,1,own,moderate,NA,1569,15,radio/TV,Some Text
992,23,male,1,rent,NA,little,1936,18,radio/TV,Some Text
993,30,male,3,own,little,little,3959,36,furniture/equipment,Some Text
994,50,male,2,own,NA,NA,2390,12,car,Some Text
995,31,female,1,own,little,NA,1736,12,furniture/equipment,Some Text
996,40,male,3,own,little,little,3857,30,car,Some Text
997,38,male,2,own,little,NA,804,12,radio/TV,Some Text
998,23,male,2,free,little,little,1845,45,radio/TV,Some Text
999,27,male,2,own,moderate,moderate,4576,45,car,Some Text
